eventID,occurrenceID,eventDate,minimumDepthInMeters,maximumDepthInMeters,lat,long,scientificName,scientificnameID,taxonRank,lifeStage,taxonRemark,identificationQualifier,measurementValue,occuranceStatus,basisOfRecord,identifiedBy,method
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_1,2016-02-23,0,0,50.0307000000001,-125.0992,Chaetoceros danicus,urn:lsid:marinespecies.org:taxname:149120,Species,NA,NA,NA,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_2,2016-02-23,0,0,50.0307000000001,-125.0992,Ditylum brightwellii,urn:lsid:marinespecies.org:taxname:149023,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_3,2016-02-23,0,0,50.0307000000001,-125.0992,Leptocylindrus danicus,urn:lsid:marinespecies.org:taxname:149106,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_4,2016-02-23,0,0,50.0307000000001,-125.0992,Thalassiosira,urn:lsid:marinespecies.org:taxname:148912,Genus,NA,NA,spp.,440,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_5,2016-02-23,0,0,50.0307000000001,-125.0992,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Class,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_6,2016-02-23,0,0,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,alpha-starch,Chlorophyta?,14000,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_7,2016-02-23,0,0,50.0307000000001,-125.0992,Parvicorbicula socialis,urn:lsid:marinespecies.org:taxname:105588,Species,NA,NA,NA,3500,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_8,2016-02-23,0,0,50.0307000000001,-125.0992,Choanozoa,urn:lsid:marinespecies.org:taxname:562870,Phylum,NA,NA,NA,7000,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_9,2016-02-23,0,0,50.0307000000001,-125.0992,Mesodinium rubrum,urn:lsid:marinespecies.org:taxname:232069,Species,NA,NA,NA,120,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_10,2016-02-23,0,0,50.0307000000001,-125.0992,Hillea,urn:lsid:marinespecies.org:taxname:178565,Genus,NA,NA,sp.,3500,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2016-02-23_0m,Hakai_phyto_QU39_2016-02-23_0m_11,2016-02-23,0,0,50.0307000000001,-125.0992,Apedinella radians,urn:lsid:marinespecies.org:taxname:248097,Species,NA,NA,NA,7000,Present,HumanObservation,Louis Hobson,Morphology
