Louis_class,Louis_name,status,unacceptreason,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,taxonRemark,identificationQualifier
Bacillariophyta,Achnanthes ,accepted,NA,Achnanthes,Genus,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,NA,NA,spp.
Bacillariophyta,Actinoptychus senarius,alternate representation,NA,Actinocyclus senarius,Species,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,NA,NA,NA
Bacillariophyta,Asterionellopsis glacialis,alternate representation,NA,Asterionella glacialis,Species,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,NA,NA,NA
Bacillariophyta,Attheya ,accepted,NA,Attheya,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Attheyaceae,Attheya,NA,NA,spp.
Bacillariophyta,Bacillariophyceae,accepted,NA,Bacillariophyceae,Class,Chromista,Ochrophyta,Bacillariophyceae,NA,NA,NA,NA,NA,NA
Bacillariophyta,Biddulphiales,accepted,NA,Biddulphiales,Order,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,NA,NA,NA,NA,NA
Bacillariophyta,Ceratulina bicornis,alternate representation,NA,Syringidium bicorne,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,NA,NA,NA
Bacillariophyta,Chaetoceros ,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,spp.
Bacillariophyta,Chaetoceros  ,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,cinctus/radicans
Bacillariophyta,Chaetoceros  ,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,spp.
Bacillariophyta,Chaetoceros ceratosporus,uncertain,unassessed,Chaetoceros ceratosporus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros cinctus,accepted,NA,Chaetoceros cinctus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros compressus,accepted,NA,Chaetoceros compressus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
