date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Corethron criophillum,40,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Cylindrotheca closterium,320,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pseudo-nitzschia delicatissima,40,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pseudo-nitzschia multiseries,40,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pseudo-nitzschia seriata,80,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Rhizosolenia setigera,40,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Thalassionema nitzschioides,80,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Thalassiosira spp.,80,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pyramimonas grossii,3500,Chlorophyta-Prasinophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pyramimonas orientalis,1750,Chlorophyta-Prasinophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",24500,Chlorophyta-Prasinophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Choanozoa,10500,Choanoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Apidinella spinifera,3500,Chrysophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Myronecta rubra,1880,Ciliophora
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Hillea sp.,22750,Cryptophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Teleaulax spp.,24500,Cryptophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Dictyocha speculum,40,Dictyochophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Gymnodinium spp.,120,Dinoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Gyrodinium spp.,120,Dinoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Prorocentrum micans,40,Dinoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Dinophyceae,40,Dinoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,"Protozoa (equatorial groove, Dinophyceae?)",3500,Dinoflagellata
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Radiolaria,40,Protozoa
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Phaeocystis pouchetii non flagella,1750,Prymnesiophyta-Haptophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Protozoa,183750,Unknown flagellae-bearing cells
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Biddulphiales,2070,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Pennales,120,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Skeletonema marinoi,1960,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Chaetoceros tenuissimus,1750,Bacillariophyta
2018-11-22,2018-11-22T19:59:59Z,CPHY478,5,CALVERT,DFO2,51.5208000000001,-127.5583,200,TRUE,Oligotrichea,1000,Ciliophora
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros cinctus,440,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Cylindrotheca closterium,640,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Pseudo-nitzschia delicatissima,120,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Pseudo-nitzschia seriata,40,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Thalassionema nitzschioides,320,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Thalassiosira nordenskioeldii,80,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Thalassiosira spp.,480,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",24500,Chlorophyta-Prasinophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Parvicorbicula socialis,3500,Choanoflagellata
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Choanozoa,1750,Choanoflagellata
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Hillea sp.,12250,Cryptophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Teleaulax spp.,1750,Cryptophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Dictyocha speculum,40,Dictyochophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Gyrodinium spp.,40,Dinoflagellata
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Protozoa,152250,Unknown flagellae-bearing cells
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Pennales,840,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Skeletonema marinoi,90304,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros tenuissimus,40,Bacillariophyta
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Chaetoceros spp,80,NA
2019-01-24,2019-01-24T18:06:48Z,CPHY485,5,CALVERT,DFO2,51.5208000000001,-127.5583,250,TRUE,Oligotrichea,160,Ciliophora
