date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group,lifeStage,identificationQualifier,identificationRemark
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Ceratulina bicornis,144,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros ceratosporus,720,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros cinctus,121952,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros  ,432,Bacillariophyta,resting spores,spp. Indet.,Unable to distinguish between Chaetoceros cinctus and radicans
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chetoceros debilis,29400,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros laciniosus,4464,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros radicans,28800,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros seiracanthus,3168,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros socialis,79920,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros ,16416,Bacillariophyta,NA,spp. Indet.,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Chaetoceros  ,720,Bacillariophyta,resting spores,spp. Indet.,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Cylindrotheca closterium,3600,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen fragilissimus,144,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Dactyliosolen phuketensis,864,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Detonula pumila,144,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Guinardia delicatula,2016,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia delicatissima,5904,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia multiseries,7344,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pseudo-nitzschia seriata,2304,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Stephanopyxis turris,432,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassionema nitzschioides,1872,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira nordenskioeldii,59200,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira pacifica,32033,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira rotula,24600,Bacillariophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira ,20800,Bacillariophyta,NA,spp. Indet.,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Thalassiosira  ,144,Bacillariophyta,Auxospores,sp. Indet.,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pterosperma ,5834,Chlorophyta-Prasinophyta,NA,spp. Indet.,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyramimonas grossii,5834,Chlorophyta-Prasinophyta,NA,NA,NA
2020-04-30,2020-04-30T17:07:29Z,CPHY521,5,CALVERT,KC10,51.6505000000001,-127.9516,250,TRUE,Pyramimonas orientalis,5834,Chlorophyta-Prasinophyta,NA,NA,NA
