date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group,lifeStage,identificationQualifier,identificationRemark
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Chetoceros debilis,240,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cylindrotheca closterium,40,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen fragilissimus,40,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen phuketensis,120,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassionema nitzschioides,40,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassiosira ,80,Bacillariophyta,NA,spp. Indet.,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pyramimonas grossii,9545,Chlorophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pyramimonas orientalis,38184,Chlorophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa ,89096,Chlorophyta,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Choanozoa,12728,Choanoflagellata,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Myronecta rubra,1480,Ciliophora,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Tintinnina,40,Ciliophora,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Hillea ,124098,Cryptophyta,NA,sp. Indet.,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax acuta,9546,Cryptophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax amphioxiae,6364,Cryptophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax ,89096,Cryptophyta,NA,spp. Indet.,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dictyocha speculum,760,Dictyochophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gymnodinium ,280,Dinoflagellata,NA,spp. Indet.,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gyrodinium ,160,Dinoflagellata,NA,spp. Indet.,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa ,12728,Dinoflagellata,NA,NA,Cells too small to identify. Showed equatorial groove and could be Dinophyceae
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Ebria tripartita,40,Ebriidea,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Euglenozoa,120,Euglenophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa,251378,Unknown flagellae-bearing cells,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Biddulphiales,120,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pennales,360,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Skeletonema marinoi,800,Bacillariophyta,NA,NA,NA
2019-01-16,2019-01-16T18:07:08Z,QPHY1227,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Oligotrichea,2400,Ciliophora,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Chetoceros debilis,400,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cylindrotheca closterium,120,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen phuketensis,80,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Grammatophora ,40,Bacillariophyta,NA,spp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia delicatissima,240,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia multiseries,40,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassionema nitzschioides,40,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassiosira ,120,Bacillariophyta,NA,spp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pterosperma ,1750,Chlorophyta,NA,spp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa ,14000,Chlorophyta,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Myronecta rubra,680,Ciliophora,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Hillea ,7000,Cryptophyta,NA,sp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dictyocha speculum,200,Dictyochophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gymnodinium ,160,Dinoflagellata,NA,spp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gyrodinium ,40,Dinoflagellata,NA,spp. Indet.,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dinophyceae ,40,Dinoflagellata,resting spores,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dinophyceae,80,Dinoflagellata,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Euglenozoa,1750,Euglenophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa,38500,Unknown flagellae-bearing cells,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Biddulphiales,40,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pennales,5810,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Skeletonema marinoi,920,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Chaetoceros tenuissimus,40,Bacillariophyta,NA,NA,NA
2019-01-23,2019-01-23T17:30:38Z,QPHY1232,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Oligotrichea,2440,Ciliophora,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cocconeis ,40,Bacillariophyta,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cylindrotheca closterium,480,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Detonula pumila,40,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia delicatissima,600,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia multiseries,200,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassionema nitzschioides,120,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassiosira ,200,Bacillariophyta,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Bacillariophyceae,40,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pterosperma ,3889,Chlorophyta,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pyramimonas grossii,3889,Chlorophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pyramimonas orientalis,19445,Chlorophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa ,147782,Chlorophyta,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Choanozoa,19445,Choanoflagellata,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Myronecta rubra,360,Ciliophora,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Hillea ,198339,Cryptophyta,NA,sp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax acuta,35001,Cryptophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax amphioxiae,11667,Cryptophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Teleaulax ,116670,Cryptophyta,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dictyocha speculum,320,Dictyochophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dictyocha ,40,Dictyochophyta,spores,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gymnodinium ,480,Dinoflagellata,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Gyrodinium ,400,Dinoflagellata,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Katodinium ,80,Dinoflagellata,NA,spp. Indet.,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa ,3889,Dinoflagellata,NA,NA,Cells too small to identify. Showed equatorial groove and could be Dinophyceae
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Euglenozoa,3889,Euglenophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Copepoda ,40,Metazoa,copepodites,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Protozoa,377233,Unknown flagellae-bearing cells,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pennales,11867,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Skeletonema marinoi,1800,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Chaetoceros tenuissimus,11667,Bacillariophyta,NA,NA,NA
2019-01-29,2019-01-29T17:53:43Z,QPHY1237,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Oligotrichea,3480,Ciliophora,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cylindrotheca closterium,160,Bacillariophyta,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen fragilissimus,80,Bacillariophyta,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen phuketensis,80,Bacillariophyta,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia delicatissima,80,Bacillariophyta,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia seriata,40,Bacillariophyta,NA,NA,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassiosira ,640,Bacillariophyta,NA,spp. Indet.,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pterosperma ,3500,Chlorophyta,NA,spp. Indet.,NA
2019-02-05,2019-02-05T18:06:17Z,QPHY1242,0,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pyramimonas grossii,5250,Chlorophyta,NA,NA,NA
