date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,species,counts,group
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Attheya spp.,3889,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Ceratulina bicornis,288,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Ceratulina pelagica,144,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros ceratosporus,720,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros cinctus,33899,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chetoceros debilis,8352,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros decipiens,1440,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros diadema,576,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros diadema resting stage,576,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros didymus,1008,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros laciniosus,4752,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros radicans,42918,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros seiracanthus,4320,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros similis,1728,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Chaetoceros socialis,34128,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Coscinodiscus spp.,144,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Cylindrotheca closterium,2160,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dactyliosolen fragilissimus,1296,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dactyliosolen phuketensis,432,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Ditylum brightwellii,576,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Navicula sp.,144,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pleurosigma spp.,144,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pseudo-nitzschia delicatissima,2016,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pseudo-nitzschia multiseries,7632,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pseudo-nitzschia seriata,2016,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Rhizosolenia setigera,144,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassionema nitzschioides,2736,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassiosira nordenskioeldii,91760,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassiosira pacifica,100000,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassiosira rotula,26400,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Thalassiosira spp.,69856,Bacillariophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pterosperma spp.,15556,Chlorophyta-Prasinophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Pyramimonas orientalis,23334,Chlorophyta-Prasinophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,"Protozoa (alpha-starch, Chlorophyta?)",151671,Chlorophyta-Prasinophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Monosiga marina,11667,Choanoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Choanozoa,97225,Choanoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Apidinella spinifera,3889,Chrysophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Myronecta rubra,144,Ciliophora
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Tintinnina,1008,Ciliophora
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Hillea sp.,23334,Cryptophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Teleaulax amphioxiae,3889,Cryptophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Teleaulax spp.,62224,Cryptophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dictyocha speculum,144,Dictyochophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dictyocha spore forms,432,Dictyochophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Meringosphaerae mediterranea,3889,Dictyochophyta
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Dinophysis acuminata,144,Dinoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Gonyaulax spp.,144,Dinoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Gymnodinium spp.,720,Dinoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Gyrodinium spp.,720,Dinoflagellata
2020-05-01,2020-05-01T17:23:17Z,CPHY519,5,CALVERT,QCS01,51.705,-128.2384,250,TRUE,Katodinium spp.,19445,Dinoflagellata
