,QPHY1227,QPHY1232,QPHY1237,QPHY1242,QPHY1247,QPHY1257,QPHY1252,QPHY1263,QPHY1259,QPHY1267,QPHY630
Bacillariophyta,,,,,,,,,,,
Achnanthes spp.,,,,,,,,,333,,
Actinoptychus senarius,,,,,,,,,,,
Asterionellopsis glacialis,,,,,,,,,,,
Attheya spp.,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,,,,
Ceratulina pelagica,,,,,,,,,,,
Chaetoceros ceratosporus,,,,,40,,40,,111,54,
Chaetoceros cinctus,,,,,,,,,444,3942,80
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,
Chaetoceros concavicornis,,,,,40,200,40,,,,
Chaetoceros convolutus,,,,,,160,,,,,120
Chaetoceros danicus,,,,,,,,,,,
Chetoceros debilis,240,400,,,,160,,,999,1188,
Chaetocers debilis resting stg,,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,,,,
Chaetoceros diadema,,,,,,,,,2331,,
Chaetoceros diadema resting stage,,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,,
Chaetoceros laciniosus,,,,,,,,,,,
Chaetoceros lacinosus resting stage,,,,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,7998,
Chaetoceros seiracanthus,,,,,,,,,2997,432,120
Chaetoceros seiracanthus resting stage,,,,,,,,,,,
Chaetoceros similis,,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,,864,
Chaetoceros spp.,,,,,,,40,40,,,
Chaetoeros spp. very small,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,,,,,
Chaetoceros tenuissimus (large),,40,,,40,40,80,,,,
Chaetoceros tenuissimus (small),,,11667,,,3182,5833,,,7000,
Cocconeis spp.,,,40,,,,,40,,,
Corethron criophillum,,,,,,40,200,320,111,54,
Coscinodiscus spp.,,,,,,,,,,,
Cylindrotheca closterium,40,120,480,160,200,400,280,120,777,,
Dactyliosolen fragilissimus,40,,,80,800,520,280,5000,143,108,
Dactyliosolen phuketensis,120,80,,80,360,280,160,,444,,200
Detonula pumila,,,40,,,,240,,777,594,
Ditylum brightwellii,,,,,40,,,,444,108,
Ditylum brightwellii,,,,,,,,,,,
Eucampia groenlandica,,,,,,,,,,,
Eucampia zodiacus,,,,,,,,,,,
Fragilariopsis spp.,,,,,,,,,,,
Grammatophora spp.,,40,,,,,,,,,40
Guinardia delicatula,,,,,,,,,,,
Hemiaulus hauckii,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,,
Licmophora spp.,,,,,,,80,,1221,54,
Melosira sp.,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,
Navicula sp.,,,,,,,,,444,,
Odontella longicruris,,,,,,,,,,,
Paralia sulcata,,,,,,,,,,,
Pleurosigma spp.,,,,,,,40,,111,,
Pseudo-nitzschia delicatissima,,240,600,80,320,200,80,,3741,1998,
Pseudo-nitzschia multiseries,,40,200,,40,600,440,,4551,1566,80
Pseudo-nitzschia seriata,,,,40,,40,40,,,1242,
Rhizosolenia setigera,,,,,,,,,111,162,
S. marinoi (large cells),,,,,680,2880,2040,240,284000,10502,
S. marinoi (small cells),800,920,1800,760,15408,9167,10235,640,2499000,216,480
Stephanopyxis nipponica,,,,,,,,,,,
Stephanopyxis turris,,,,,,,80,,888,756,
Thalassionema nitzschioides,40,40,120,,,80,320,80,888,,240
Thalassiosira anguste-lineata,,,,,,,,,,216,
Thalassiosira nordenskioldii,,,,,,,,,111,,
Thalassiosira pacifica,,,,,,,,,18093,,
Thalassiosira rotula,,,,,,,,,3552,,
Thalassiosira spp.,80,120,200,640,840,1840,3240,1160,10989,324,120
Thalassiosira sp. Auxospore,,,,,,120,40,,111,,
Unidentified centric forms,120,40,,40,320,120,80,200,,108,
Unidentified very small centric forms,,,,1750,,,5833,,84000,,
