species,,,,,QPHY1462,QPHY1466,QPHY1471,QPHY1475,QPHY1480,QPHY1483,QPHY1494
Bacillariophyta,,,,,,,,,,,
Achnanthes spp.,,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,,
Asterionellopsis glacialis,,,,,,,296,,,,
Attheya spp.,,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,,,,
Ceratulina pelagica,,,,,89,,,,,,
Chaetoceros ceratosporus,,,,,356,,,108,,,
Chaetoceros cinctus,,,,,,,592,,,,
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,
Chaetoceros concavicornis,,,,,,,,,,,
Chaetoceros convolutus,,,,,,,,,,,
Chaetoceros danicus,,,,,89,,,,,,
Chetoceros debilis,,,,,16020,558,,,,,
Chaetocers debilis resting stg,,,,,,,,,,,
Chaetoceros decipiens,,,,,,868,,,,,
Chaetoceros diadema,,,,,,,,,,,
Chaetoceros diadema resting stage,,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,,
Chaetoceros laciniosus,,,,,,,,,,,
Chaetoceros lacinosus resting stage,,,,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,,
Chaetoceros seiracanthus,,,,,,,,,,,
Chaetoceros seiracanthus resting stage,,,,,,,,,,,
Chaetoceros similis,,,,,267,,,,,,
Chaetoceros simplex,,,,,,,,,,,
Chaetoceros socialis,,,,,,30200,,,,,
Chaetoceros spp.,,,,,1157,62,,,,,
Chaetoeros spp. very small,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,74,,,,
Chaetoceros tenuissimus (large),,,,,,,,,,,
Chaetoceros tenuissimus (small),,,,,5833,,,,,,
Cocconeis spp.,,,,,,,,,,,
Corethron criophillum,,,,,178,,,,,,270
Coscinodiscus spp.,,,,,,,,,,,
Cylindrotheca closterium,,,,,6230,1736,148,,,,
Dactyliosolen fragilissimus,,,,,48827,,222,,,,
Dactyliosolen phuketensis,,,,,10858,124,10591,,,,108
Dactyliosolen spp,,,,,,,,,,,270
Detonula pumila,,,,,,4154,,,,,
Ditylum brightwellii,,,,,178,,,,,,
Ditylum brightwellii r.s.,,,,,,,,,,,
Eucampia groenlandica,,,,,89,,,,,,
Eucampia zodiacus,,,,,,,10235,,,,
Fragilariopsis spp.,,,,,,,,,,,
Grammatophora spp.,,,,,,,,,,,
Guinardia delicatula,,,,,,,,,,,
Guinardia delicatula auxospore,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,3404,,,,
Licmophora spp.,,,,,,,,,,,
Melosira sp.,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,
Navicula sp.,,,,,,,,,,,
Odontella longicruris,,,,,,248,,,,,
Paralia sulcata,,,,,,,,,,,
Pleurosigma spp.,,,,,979,124,,,,,
Pseudo-nitzschia delicatissima,,,,,9345,3286,1036,54,,,
Pseudo-nitzschia multiseries,,,,,13653,12543,296,,,,
Pseudo-nitzschia seriata,,,,,,372,5328,,,,
Rhizosolenia setigera,,,,,267,124,,594,,,108
Rhizosolenia setigera,,r.s.,,,,,,,,,
S. marinoi (large cells),,,,,3827,,,,,,
S. marinoi (small cells),,,,,18144,682,1036,432,,,1782
S. marinoi auxospores,,,,,,,,,,,
Stephanopyxis nipponica,,,,,,,,,,,
Stephanopyxis turris,,,,,267,,296,,,,
Thalassionema nitzschioides,,,,,3026,2976,,54,,,
Thalassiosira anguste-lineata,,,,,,,,,,,
Thalassiosira nordenskioldii,,,,,89,,,,,,
Thalassiosira pacifica,,,,,,,,,,,
Thalassiosira rotula,,,,,2492,,,,,,
Thalassiosira spp.,,,,,137000,28400,444,432,,,216
Thalassiosira sp. Auxospore,,,,,,,,,,,
Unidentified centric forms,,,,,,248,444,,,,
Unidentified very small centric forms,,,,,,10000,,,,,
Unidentified pennate forms,,,,,1602,3162,518,864,,123,
Unidentified very small pennate forms,,,,,,5000,,,,2333,
Unknown forms,,,,,,,,,,,
Total Cells/L,,,,,280862,104867,34960,2538,0,2456,2754
,,,,,,,,,,,
Chlorophyta-Prasinophyta,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,
Pterosperma spp.,,,,,,,5833,14000,,,
Pterosperma spp. resting stages,,,,,,,,,,,
Pyramimonas grossii,,,,,5833,25000,,,,,23333
Pyramimonas orientalis,,,,,17500,100000,,7000,,,31112
Pyramimonas spp.,,,,,,5000,2917,,,,
Tetraselmis gracilis,,,,,,,,,,,
Unknown species,,,,,163324,170000,140016,280000,32083,28000,120559
,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,
Monosiga marina,,,,,23332,30000,5833,,,,11667
Parvicorbicula socialis,,,,,,,,,,,
Unknown species,,,,,116660,125000,20419,42000,8751,2333,15556
,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,
Apidinella spinifera,,,,,,,,,,,3889
Dinobryon spp.,,,,,,,,,,,
Ochromonas spp.,,,,,5833,15000,,7000,,,
Unknown species,,,,,,,,,,,
,,,,,,,,,,,
Ciliophora,,,,,,,,,,,
Elongate form,,,,,89,,,270,,,432
Myronecta rubra,,,,,267,992,148,378,200,1927,5886
Oligotricious forms (medium),,,,,356,1116,5476,5346,840,861,7474
Oligotricious forms (large),,,,,,,,,,,54
Oligotricious forms (small),,,,,712,1860,3848,3510,480,2337,10235
Tintinnid forms,,,,,,186,,108,5040,164,432
,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,
Hillea sp.,,,,,87495,85000,37921,273000,247945,9332,264452
Teleaulax acuta,,,,,23332,10000,2917,35000,5834,9332,11667
Teleaulax amphioxiae,,,,,5833,,,,,,35001
Teleaulax spp.,,,,,116660,5000,26253,203000,61257,18664,248896
,,,,,,,,,,,
Cyanobacteria ,,,,,,,,,,,
,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,
Ciliophrys infusionum,,,,,,,,,,,
Dictyocha fibula,,,,,,62,,,,,
Dictyocha octonaria,,,,,,124,,,,,
Dictyocha speculum,,,,,178,992,74,162,1480,1845,108
Dictyocha spore forms,,,,,,,,108,,,
Meringosphaerae mediterranea,,,,,,,,7000,,,
Meringosphaerae spp,,,,,,,,,,,
Meringosphaerae tenerrima,,,,,,,5834,,,,
,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,123,
Amylax triacantha,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,
Ceratium furca,,,,,,,,,,,
Ceratium fusus,,,,,,,296,108,,,
Ceratium horridum,,,,,,,74,648,,,
Ceratium spp.,,,,,,,,,,,
Ceratium symmetricum,,,,,,,,,,,
