action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,mesh_size__um_,net_dim___cm_,net_length__cm_,line_out_depth,pressure_transducer_depth,sample_style,volume,lugols,collected,preserved,analyzed,lab_technician,analyzing_lab,row_flag,quality_level,comments,quality_log
,12589851,1,2021-02-17,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,2,TO4A,,QPHY1462,M,50.4264400000001,-124.51479,,,,,,5,5.2964357,Grab Sample,250,true,2021-02-17T18:09:00.000Z,2021-02-17T21:59:00.000Z,,carolyn.prentice;meagan.abele,,Collected,Technicianm,,1: Phyto metadata QCd by EJ2: Event QC by MA
,13231760,1,2021-03-23,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1466,M,50.4264400000001,-124.51479,,,,,,5,5.8311577,Grab Sample,250,true,2021-03-23T17:09:00.000Z,2021-03-23T18:12:00.000Z,,carolyn.prentice;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,15130250,1,2021-04-15,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1471,M,50.4264400000001,-124.51479,,,,,,5,5.7030017,Grab Sample,250,true,2021-04-15T19:01:00.000Z,2021-04-16T00:05:00.000Z,,carolyn.prentice;faye.manning;jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,15131576,1,2021-05-12,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1475,M,50.4264400000001,-124.51479,50.426004,-124.516079,,,,5,5.3866856,Grab Sample,250,true,2021-05-12T18:15:00.000Z,2021-05-12T23:00:00.000Z,,carolyn.prentice;faye.manning;katie.pocock,,Collected,Technicianm,,1: Phyto metadata QCd by MA2: Event Metadata QCd by FM
,15785953,1,2021-06-10,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1480,M,50.4264400000001,-124.51479,50.4276194,-124.5145454,,,,5,6.1971871,Grab Sample,250,true,2021-06-10T17:02:00.000Z,2021-06-10T18:20:00.000Z,,carolyn.prentice;faye.manning,,Collected,Technicianm,,1: Event Metadata QCd by FM2: Phyto metadata QCd by JB
,17707297,1,2021-06-25,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1483,M,50.4264400000001,-124.51479,50.4258426,-124.5167534,,,,5,5.4797934,Grab Sample,250,true,2021-06-25T16:51:00.000Z,2021-06-25T18:09:00.000Z,,rumer.opie,,Collected,Technicianm,,1: Phyto metadata QCd by JB2: Qced metadta by RO
,17707309,1,2021-07-22,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QM1016,M,50.4264400000001,-124.51479,50.4258363,-124.516273,,,,5,5.7142624,Grab Sample,250,true,2021-07-22T17:08:00.000Z,2021-07-22T20:11:00.000Z,,alex.hare;jonathan.bergshoeff;meagan.abele;rosie.savage;zoe.sandwith,,Not Available,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by ZS3: Phyto bottle broke in fridge 2021-08-09
,17710241,1,2021-08-26,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1494,M,50.4264400000001,-124.51479,50.4278656,-124.5137905,,,,5,5.6929607,Grab Sample,250,true,2021-08-26T17:06:00.000Z,2021-08-26T18:00:00.000Z,,carolyn.prentice;faye.manning,,Collected,Technicianm,,1: Event metadata QCd by JB2: PHYTO Metadata QCd by FM
,18994320,1,2021-09-23,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1498,M,50.4264400000001,-124.51479,50.4262375,-124.5149739,,,,5,5.5403466,Grab Sample,250,true,2021-09-23T16:53:00.000Z,2021-09-23T20:07:00.000Z,,jonathan.bergshoeff,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,20282570,1,2021-10-27,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1376,M,50.4264400000001,-124.51479,50.4269833,-124.5140259,,,,5,6.0316379,Grab Sample,250,true,2021-10-27T17:03:00.000Z,2021-10-27T19:54:00.000Z,,zoe.sandwith;carolyn.prentice,,Collected,Technicianm,,1: Event metadata QCd by EJ2: PHYTO Metadata QCd by FM
,20292530,1,2021-11-18,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,2,TO4A,,QPHY1379,M,50.4264400000001,-124.51479,50.4256213,-124.5175953,,,,5,5.6277306,Grab Sample,250,true,2021-11-18T18:28:00.000Z,2021-11-18T21:58:00.000Z,,carolyn.prentice;alex.hare;eva.jordison;faye.manning;zoe.sandwith,,Collected,Technicianm,,1: Event metadata QCd by EJ2: Sample metadata QCd by EJ
,20941462,1,2021-12-09,QUADRA,HAKAI,OCEANOGRAPHY,TOBA,1,TO4A,,QPHY1383,M,50.4264400000001,-124.51479,50.4275172,-124.5166941,,,,5,5.5152708,Grab Sample,250,true,2021-12-09T18:10:00.000Z,2021-12-09T20:37:00.000Z,,alex.hare;eva.jordison;jonathan.bergshoeff;carolyn.prentice;zoe.sandwith,,Collected,Technicianm,,1: Sample metadata QCd by EJ2: Event Metadata QCd by ZS
