species,,,,QPHY1371,QPHY1445,QPHY1447,QPHY1448,QPHY1449,QPHY1450,QPHY1451,QPHY1454
Bacillariophyta,,,,,,,,,,,
Achnanthes spp.,,,,,,,40,,,,80
Actinoptychus senarius,,,,,,,,,,,
Asterionellopsis glacialis,,,,,40,,,,,,
Attheya spp.,,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,,40,,
Ceratulina pelagica,,,,,40,,,,,,
Chaetoceros ceratosporus,,,,,,,,,,,
Chaetoceros cinctus,,,,,,,,,,,
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,
Chaetoceros concavicornis,,,,,,,,,,,
Chaetoceros convolutus,,,,,120,120,,,240,,
Chaetoceros danicus,,,,,,,,40,,,
Chetoceros debilis,,,,,80,,320,40,560,,
Chaetocers debilis resting stg,,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,120,40,,
Chaetoceros diadema,,,,,,,,,,,
Chaetoceros diadema resting stage,,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,,
Chaetoceros laciniosus,,,,,,440,,,,,
Chaetoceros lacinosus resting stage,,,,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,,
Chaetoceros seiracanthus,,,,,,,,,,,
Chaetoceros seiracanthus resting stage,,,,,,,,,,,
Chaetoceros similis,,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,,,
Chaetoceros spp.,,,,,,,,,,,
Chaetoeros spp. very small,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,,,,,
Chaetoceros tenuissimus (large),,,,,,,,40,,,
Chaetoceros tenuissimus (small),,,,,,,,,,,
Cocconeis spp.,,,,,,,40,,40,80,
Corethron criophillum,,,,,160,560,680,360,120,,
Coscinodiscus spp.,,,,,,,,,,,
Cylindrotheca closterium,,,,240,40,120,,40,160,80,160
Dactyliosolen fragilissimus,,,,,80,,,,,,
Dactyliosolen phuketensis,,,,,,,,,,,
Detonula pumila,,,,,,,,,,,
Ditylum brightwellii,,,,,,,,80,80,,40
Ditylum brightwellii r.s.,,,,,,,,,,,
Eucampia groenlandica,,,,,,,,,80,,
Eucampia zodiacus,,,,,,,,,80,,
Fragilariopsis spp.,,,,,,,,,,,
Grammatophora spp.,,,,,40,,40,,,,
Guinardia delicatula,,,,,,,,,,,
Guinardia delicatula auxospore,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,,,,,
Licmophora spp.,,,,,,,200,,80,80,120
Melosira sp.,,,,,,,,,80,,
Membraneis challengeri,,,,80,,,,,80,,
Navicula sp.,,,,,,,,,,,
Odontella longicruris,,,,,,,,,,,
Paralia sulcata,,,,,,280,80,,,,
Pleurosigma spp.,,,,,,,,,,,
Pseudo-nitzschia delicatissima,,,,,,40,80,80,40,,80
