species,,,,QPHY1452,QPHY1453,QPHY1457,QPHY1458,QPHY1459,QPHY1460,QPHY1461,QPHY1463,QPHY1464,QPHY1465,QPHY1467,QPHY1468,QPHY1469,QPHY1470,QPHY1472,QPHY1473,QPHY1474,QPHY1476,QPHY1477,QPHY1478,QPHY1479,QPHY1481,QPHY1482,QPHY1484,QPHY1486,QPHY1488,QPHY1487,QPHY1489,QPHY1490,QPHY1491,QPHY1492,QPHY1493
Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes spp.,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionellopsis glacialis,,,,,,,,,,148,1887,,,5217,4329,13968,5904,1157,11507,,555,40430,1335,,,,200,1776,80,,720,444,144,7400,9641
Attheya spp.,,,,,,,,,,,2917,,,1944,6176,20417,2917,9333,10500,,,13125,3889,,,,3182,7292,,,,10000,52500,19445,21875
Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,,,,222,,,,111,,,,,,,,,,,48,5600,3646,,,,,288,200,
Ceratulina pelagica,,,,,,,,,,74,,,,222,,,,,,,,,,,534,,6000,,,,,,,,
Chaetoceros ceratosporus,,,,,,,,,,,222,,,,,,144,89,311,,,,,,178,,,,,378,432,888,,,
Chaetoceros cinctus,,,,,,,,,,,12099,,,22977,16848,72816,7776,11766,10885,,4551,4976,4984,,,288,8400,12432,680,1620,22000,51315,58779,137936,32033
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,,,,,333,,720,178,311,,,,,,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,,,,,2331,2880,4464,2759,35143,,,,3293,,,,2200,,,216,720,16128,13248,32344,72224
Chaetoceros concavicornis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros convolutus,,,,,80,,,200,80,148,,,,222,,1296,864,89,2799,,444,,1068,,,,,,,,,,,,
Chaetoceros danicus,,,,,,,,,,,1110,,,1221,,144,4176,1424,3732,,333,4354,534,,,,,222,,,,1554,4032,200,1555
Chetoceros debilis,,,,,,,280,,560,14774,75184,80,,5772,4107,17856,12528,3649,4354,,,14617,3204,,,,11600,8436,640,,1000,3441,1872,14200,62752
Chaetocers debilis resting stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,160,280,,,,,666,1443,,,,9330,,,2177,2225,,,,4000,999,80,,8640,1776,,,
Chaetoceros diadema,,,,,,,,,,,,,,,,3024,432,2581,10574,,,4976,,,,,,1332,,,,2775,,2600,
Chaetoceros diadema resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,
Chaetoceros didymus,,,,,,,,,,,,360,,1776,1554,5904,576,,4043,,,,,,,,,666,,594,1584,2109,1584,4600,10263
Chaetoceros laciniosus,,,,,,,,,,962,1110,,,,,576,3888,,,,,2488,1513,,,,1000,7659,880,2376,3168,7881,6624,22800,25191
Chaetoceros lacinosus resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,
Chaetoceros mitra resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,,,,,21800,15840,98864,14400,4361,18038,,,1555,,,,,,1554,,,,,,,
Chaetoceros seiracanthus,,,,,,,,,,,,,,1332,222,,864,3738,12129,,21000,140304,4539,,,,,,,378,720,18432,3456,20400,15239
Chaetoceros seiracanthus resting stage,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,1200,
Chaetoceros similis,,,,,,,,,,,,,,,,,288,,933,,,6531,445,,,,,,,,,,,400,
Chaetoceros simplex,,,,,,,,,,,,,,,,144,8751,,1555,,,,,,89,,,111,,54,,111,,,
Chaetoceros socialis,,,,,,,,,,,29193,,,46028,4329,37400,19728,1646,11818,,444,31100,445,,35000,,600,1443,,1080,17424,49138,3744,81482,79616
Chaetoceros spp.,,,,,,,,,560,1554,1221,,,5550,111,7344,5328,5251,11818,,2109,20215,3293,,89,,2200,2109,,702,9648,24200,14544,4000,69264
Chaetoeros spp. very small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,,,,,,,,,,432,,,7000,,,,,,17500,,1000,,120,1674,35000,666,,,
Chaetoceros tenuissimus (large),,,,,,,,,,,,80,,,222,,,,,,,,,,,,,,,54,144,444,,,
Chaetoceros tenuissimus (small),,,,,3889,,,,80,2917,5833,,,9720,,2917,,,14000,,70000,43750,,,8750,,,7292,,4375,17500,5000,17500,,
Cocconeis spp.,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,
