species,,,,QPHY1299,QPHY1300,QPHY1301,QPHY1302,QPHY1304,QPHY1305,QPHY1281,QPHY1307,QPHY1308,QPHY1309,QPHY1310,QPHY1311,QPHY1324,QPHY1325,QPHY1326,QPHY1327
Bacillariophyta,,,,,,,,,,,,,,,,,,,
Achnanthes spp.,,,,,,80,,,,,,80,,,,,,,40
Actinoptychus senarius,,,,,,,,,,,,,,,,,,,
Asterionellopsis glacialis,,,,,,80,800,,2016,,,440,,,,,,,
Attheya spp.,,,,,,,,,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,40,,,,,,,,240,,,80
Ceratulina pelagica,,,,,,,,,31400,,,,,,,,,,
Chaetoceros ceratosporus,,,,,,,,,,,,,,,,,,,
Chaetoceros cinctus,,,,,,,,,4896,640,,520,80,,,,,,
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,,,,,,,,,
Chaetoceros concavicornis,,,,,,,,,,,,,,,,,,,
Chaetoceros convolutus,,,,,,,,,,,120,800,1160,120,40,,,,
Chaetoceros danicus,,,,,,,,,,,,,,,,,,,
Chetoceros debilis,,,,,,,,120,288,,120,160,,,,120,1000,,
Chaetocers debilis resting stg,,,,,,,,,,,,,3889,,,,,,
Chaetoceros decipiens,,,,,,,,,,,,,,,,,,,
Chaetoceros diadema,,,,,,,,,,,,,,,,,,,
Chaetoceros diadema resting stage,,,,,,,,,,,,,,,,,,,
Chaetoceros didymus,,,,,,,,,,,,,,,,,,,
Chaetoceros laciniosus,,,,,,,,,1296,120,480,,40,,,360,,,240
Chaetoceros lacinosus resting stage,,,,,,,,,,,,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,960,,,,,,,,,
Chaetoceros seiracanthus,,,,,,,,,,1400,,,,,,,80,,
Chaetoceros seiracanthus resting stage,,,,,,,,,,,,,,,,,,,
Chaetoceros similis,,,,,,,,,,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,864,,,,,,,,,,
Chaetoceros spp.,,,,,,,,,720,360,80,360,360,,40,120,160,,40
Chaetoeros spp. very small,,,,,,,,,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,,,,,,40,,,
Chaetoceros subtilis,,,,,,,,,,,,,,,,,,,
Chaetoceros tenuissimus (large),,,,,,,,,,,,,,,,40,,,
Chaetoceros tenuissimus (small),,,,,,,,,,,,,,,,,,,
Cocconeis spp.,,,,,,,,,,,,40,,,,,,,
Corethron criophillum,,,,,240,80,80,40,144,240,120,720,6448,2600,40,40,80,40,
Coscinodiscus spp.,,,,,,,,,,,,,,,,,,,
Cylindrotheca closterium,,,,200,,240,,40,144,40,,80,80,40,,,,80,
Dactyliosolen fragilissimus,,,,,,,,120,2592,,,,640,,40,240,,440,720
Dactyliosolen phuketensis,,,,,40,,320,120,288,,,,,,,,,1360,200
Detonula pumila,,,,,,,,,144,,,80,,,120,,,,
Ditylum brightwellii,,,,80,,,,40,288,,,40,480,,40,80,,40,1200
Ditylum brightwellii,,spore,,,,,,,,,,,,,,,,,40
Eucampia groenlandica,,,,,,,240,280,9504,40,,,,,40,80,,,
Eucampia zodiacus,,,,40,,,,,864,,,,,,,,,,
Fragilariopsis spp.,,,,,,,,,,,,240,,,,,,,320
Grammatophora spp.,,,,,,,40,,,,,40,,,,40,,,160
Guinardia delicatula,,,,,,,,200,288,,,,,,,,,,
Hemiaulus hauckii,,,,,,,,40,17712,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,,,,,,,,,
Leptocylindrus danicus,,,,,,,480,200,576,,,,,120,40,,,,
Licmophora spp.,,,,40,,,40,,,,40,280,40,,,120,,40,120
Melosira sp.,,,,,,,,,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,,,,,,,,,
Navicula sp.,,,,,,,,,,,,,,,,40,,,
Odontella longicruris,,,,,,,,,,,,,,,,,,,
Paralia sulcata,,,,,,,,,,,,,,,,,,,80
Pleurosigma spp.,,,,,,,,,144,,40,,80,,,,,40,40
Pseudo-nitzschia delicatissima,,,,520,,80,40,120,1296,41,40,,40,,,,,,
Pseudo-nitzschia multiseries,,,,120,,80,,360,1440,,80,120,360,,,,,120,120
