hakai_id,obis_status
QPHY302,uploaded
QPHY365,uploaded
QPHY371,uploaded
QPHY320,uploaded
QPHY328,uploaded
QPHY334,uploaded
QPHY343,uploaded
QPHY385,uploaded
QPHY393,uploaded
QPHY438,uploaded
QPHY661,uploaded
QPHY510,uploaded
QPHY445,uploaded
QPHY455,uploaded
QPHY460,uploaded
QPHY470,uploaded
QPHY501,uploaded
QPHY521,uploaded
QPHY549,uploaded
QPHY553,uploaded
QPHY562,uploaded
QPHY567,uploaded
QPHY577,uploaded
QPHY600,uploaded
QPHY610,uploaded
QPHY620,uploaded
QPHY631,uploaded
QPHY636,uploaded
QPHY646,uploaded
QPHY651,uploaded
QPHY666,uploaded
QPHY676,uploaded
QPHY681,uploaded
QPHY721,uploaded
QPHY686,uploaded
QPHY700,uploaded
QPHY731,uploaded
QPHY741,uploaded
QPHY736,uploaded
QPHY746,uploaded
QPHY756,uploaded
QPHY766,uploaded
QPHY771,uploaded
QPHY776,uploaded
QPHY785,uploaded
QPHY790,uploaded
QPHY795,uploaded
QPHY800,uploaded
QPHY810,uploaded
QPHY815,uploaded
QPHY820,uploaded
QPHY825,uploaded
QPHY830,uploaded
QPHY840,uploaded
QPHY845,uploaded
QPHY850,uploaded
QPHY860,uploaded
QPHY876,uploaded
QPHY881,uploaded
QPHY886,uploaded
QPHY896,uploaded
QPHY911,uploaded
QPHY916,uploaded
QPHY921,uploaded
QPHY891,uploaded
QPHY927,uploaded
QPHY932,uploaded
QPHY951,uploaded
QPHY956,uploaded
QPHY961,uploaded
QPHY967,uploaded
QPHY981,uploaded
QPHY986,uploaded
QPHY991,uploaded
QPHY996,uploaded
QPHY1002,uploaded
QPHY1007,uploaded
QPHY1013,uploaded
QPHY1018,uploaded
QPHY1024,uploaded
QPHY1029,uploaded
QPHY1034,uploaded
QPHY1039,uploaded
QPHY1059,uploaded
QPHY1064,uploaded
QPHY1070,uploaded
QPHY1076,uploaded
QPHY1081,uploaded
QPHY1075,uploaded
QPHY1091,uploaded
QPHY1097,uploaded
QPHY1102,uploaded
QPHY1118,uploaded
QPHY1124,uploaded
QPHY1129,uploaded
QPHY1134,uploaded
QPHY1139,uploaded
QPHY1144,uploaded
QPHY1150,uploaded
QPHY1155,uploaded
QPHY1161,uploaded
QPHY1166,uploaded
QPHY1171,uploaded
QPHY1177,uploaded
QPHY1182,uploaded
QPHY1198,uploaded
QPHY1203,uploaded
QPHY1187,uploaded
QPHY1192,uploaded
QPHY1222,uploaded
QPHY1274,uploaded
QPHY1271,uploaded
QPHY1272,uploaded
QPHY1275,uploaded
QPHY1282,uploaded
QPHY1286,uploaded
QPHY1285,uploaded
QPHY1288,uploaded
QPHY1289,uploaded
QPHY1290,uploaded
QPHY1298,uploaded
