eventID,eventDate,minimumDepthInMeters,maximumDepthInMeters,decimalLongitude,decimalLatitude
Hakai_phyto_QU39_2020-01-08_5m,2020-01-08T18:44:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-01-28_5m,2020-01-28T17:53:51Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-02-05_5m,2020-02-05T18:36:51Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-02-18_5m,2020-02-18T17:58:18Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-02-26_5m,2020-02-26T19:03:43Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-03-06_5m,2020-03-06T17:59:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-03-12_5m,2020-03-12T16:44:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-03-18_5m,2020-03-18T17:37:10Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-04-29_5m,2020-04-29T18:13:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-05-14_5m,2020-05-14T16:34:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-05-26_5m,2020-05-26T16:39:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-06-04_5m,2020-06-04T17:46:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-06-11_5m,2020-06-11T17:01:15Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-06-17_5m,2020-06-17T17:02:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-06-25_5m,2020-06-25T16:34:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-06-30_5m,2020-06-30T16:47:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-07-09_5m,2020-07-09T16:46:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-07-15_5m,2020-07-15T16:35:42Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-07-22_5m,2020-07-22T16:41:42Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-07-29_5m,2020-07-29T16:32:46Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-08-04_5m,2020-08-04T17:17:07Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-08-13_5m,2020-08-13T16:45:40Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-08-19_5m,2020-08-19T16:34:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-08-26_5m,2020-08-26T17:42:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-09-01_5m,2020-09-01T16:41:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-09-10_5m,2020-09-10T16:30:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-09-16_5m,2020-09-16T17:32:00Z,5,5,-125.0992,50.0307000000001
Hakai_phyto_QU39_2020-09-22_5m,2020-09-22T16:42:00Z,5,5,-125.0992,50.0307000000001
