eventID,occurrenceID,date,eventDate,minimumDepthInMeters,maximumDepthInMeters,lat,long,scientificName,scientificnameID,taxonRank,lifeStage,identificationRemark,identificationQualifier,measurementValue,occuranceStatus,basisOfRecord,identifiedBy,method
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_1,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Achnanthes,urn:lsid:marinespecies.org:taxname:149191,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_2,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Cocconeis,urn:lsid:marinespecies.org:taxname:148989,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_3,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Cylindrotheca closterium,urn:lsid:marinespecies.org:taxname:149004,Species,NA,NA,NA,160,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_4,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Rhizosolenia phuketensis,urn:lsid:marinespecies.org:taxname:573582,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_5,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Ditylum brightwellii,urn:lsid:marinespecies.org:taxname:149023,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_6,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Eucampia groenlandica,urn:lsid:marinespecies.org:taxname:157430,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_7,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Licmophora,urn:lsid:marinespecies.org:taxname:149342,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_8,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Navicula,urn:lsid:marinespecies.org:taxname:149142,Genus,NA,NA,sp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_9,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Pseudo-nitzschia multiseries,urn:lsid:marinespecies.org:taxname:175738,Species,NA,NA,NA,120,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_10,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Thalassiosira,urn:lsid:marinespecies.org:taxname:148912,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_11,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta,Indet.,40250,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_12,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Choanozoa,urn:lsid:marinespecies.org:taxname:562870,Phylum,NA,NA,Indet.,7000,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_13,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Apedinella radians,urn:lsid:marinespecies.org:taxname:248097,Species,NA,NA,NA,1750,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_14,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Mesodinium rubrum,urn:lsid:marinespecies.org:taxname:232069,Species,NA,NA,NA,440,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_15,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Tintinnina,urn:lsid:marinespecies.org:taxname:732976,Suborder,NA,NA,Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_16,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Hillea,urn:lsid:marinespecies.org:taxname:178565,Genus,NA,NA,sp. Indet.,96250,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_17,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Teleaulax,urn:lsid:marinespecies.org:taxname:106285,Genus,NA,NA,spp. Indet.,50750,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_18,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Ciliophrys infusionum,urn:lsid:marinespecies.org:taxname:375958,Species,NA,NA,NA,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_19,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Octactis speculum,urn:lsid:marinespecies.org:taxname:1310442,Species,NA,NA,NA,560,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_20,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Dictyocha,urn:lsid:marinespecies.org:taxname:157258,Genus,spores,NA,Indet.,160,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_21,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Gymnodinium,urn:lsid:marinespecies.org:taxname:109475,Genus,NA,NA,spp. Indet.,360,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_22,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Gyrodinium,urn:lsid:marinespecies.org:taxname:109476,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_23,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Katodinium,urn:lsid:marinespecies.org:taxname:109477,Genus,NA,NA,spp. Indet.,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_24,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Class,resting spores,NA,Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_25,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Dinophyceae,urn:lsid:marinespecies.org:taxname:19542,Class,NA,NA,Indet.,120,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_26,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Ebria tripartita,urn:lsid:marinespecies.org:taxname:118051,Species,NA,NA,NA,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_27,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Euglenozoa,urn:lsid:marinespecies.org:taxname:536202,Phylum,NA,NA,Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_28,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Copepoda,urn:lsid:marinespecies.org:taxname:1080,Subclass,nauplii,NA,Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_29,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,NA,Indet.,141750,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_30,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Biddulphiales,urn:lsid:marinespecies.org:taxname:148965,Order,NA,NA,Indet.,240,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_31,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Pennales,urn:lsid:marinespecies.org:taxname:1304629,Order,NA,NA,Indet.,4140,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_32,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Skeletonema marinoi,urn:lsid:marinespecies.org:taxname:376667,Species,NA,NA,NA,240,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_33,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Chaetoceros tenuissimus,urn:lsid:marinespecies.org:taxname:156623,Species,NA,NA,NA,3500,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-08_5m,Hakai_phyto_QU39_2020-01-08_5m_34,2020-01-08,2020-01-08T18:44:00Z,5,5,50.0307000000001,-125.0992,Oligotrichea,urn:lsid:marinespecies.org:taxname:732974,Class,NA,NA,Indet.,1800,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_1,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Cylindrotheca closterium,urn:lsid:marinespecies.org:taxname:149004,Species,NA,NA,NA,360,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_2,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Rhizosolenia fragilissima f. fragilissima,urn:lsid:marinespecies.org:taxname:985165,Species,NA,NA,NA,120,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_3,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Rhizosolenia phuketensis,urn:lsid:marinespecies.org:taxname:573582,Species,NA,NA,NA,240,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_4,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Ditylum brightwellii,urn:lsid:marinespecies.org:taxname:149023,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_5,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Licmophora,urn:lsid:marinespecies.org:taxname:149342,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_6,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Pseudo-nitzschia multiseries,urn:lsid:marinespecies.org:taxname:175738,Species,NA,NA,NA,480,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_7,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Synedra nitzschioides f. nitzschioides,urn:lsid:marinespecies.org:taxname:985570,Species,NA,NA,NA,160,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_8,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Thalassiosira,urn:lsid:marinespecies.org:taxname:148912,Genus,NA,NA,spp. Indet.,120,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_9,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Bacillariophyceae,urn:lsid:marinespecies.org:taxname:148899,Class,NA,NA,Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_10,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Pterosperma,urn:lsid:marinespecies.org:taxname:160595,Genus,NA,NA,spp. Indet.,2188,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_11,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Pyramimonas,urn:lsid:marinespecies.org:taxname:134529,Genus,NA,NA,spp. Indet.,6564,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_12,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta,Indet.,61264,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_13,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Choanozoa,urn:lsid:marinespecies.org:taxname:562870,Phylum,NA,NA,Indet.,8752,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_14,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Mesodinium rubrum,urn:lsid:marinespecies.org:taxname:232069,Species,NA,NA,NA,1080,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_15,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Hillea,urn:lsid:marinespecies.org:taxname:178565,Genus,NA,NA,sp. Indet.,131280,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_16,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Teleaulax,urn:lsid:marinespecies.org:taxname:106285,Genus,NA,NA,spp. Indet.,41572,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_17,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Octactis speculum,urn:lsid:marinespecies.org:taxname:1310442,Species,NA,NA,NA,360,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_18,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Dictyocha,urn:lsid:marinespecies.org:taxname:157258,Genus,spores,NA,Indet.,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_19,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Gymnodinium,urn:lsid:marinespecies.org:taxname:109475,Genus,NA,NA,spp. Indet.,280,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_20,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Gyrodinium,urn:lsid:marinespecies.org:taxname:109476,Genus,NA,NA,spp. Indet.,320,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_21,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Prorocentrum micans,urn:lsid:marinespecies.org:taxname:110303,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_22,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Protoperidinium conicum,urn:lsid:marinespecies.org:taxname:110213,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_23,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,Cells too small to identify. Showed equatorial groove and could be Dinophyceae,Indet.,2188,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_24,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Metromonas simplex,urn:lsid:marinespecies.org:taxname:118059,Species,NA,NA,NA,2188,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_25,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Protozoa,urn:lsid:marinespecies.org:taxname:5,Kingdom,NA,NA,Indet.,78768,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_26,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Biddulphiales,urn:lsid:marinespecies.org:taxname:148965,Order,NA,NA,Indet.,240,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_27,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Pennales,urn:lsid:marinespecies.org:taxname:1304629,Order,NA,NA,Indet.,5255,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_28,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Skeletonema marinoi,urn:lsid:marinespecies.org:taxname:376667,Species,NA,NA,NA,2920,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_29,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Chaetoceros tenuissimus,urn:lsid:marinespecies.org:taxname:156623,Species,NA,NA,NA,4375,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-01-28_5m,Hakai_phyto_QU39_2020-01-28_5m_30,2020-01-28,2020-01-28T17:53:51Z,5,5,50.0307000000001,-125.0992,Oligotrichea,urn:lsid:marinespecies.org:taxname:732974,Class,NA,NA,Indet.,3160,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_1,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Chaetoceros didymus,urn:lsid:marinespecies.org:taxname:149122,Species,NA,NA,NA,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_2,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Cocconeis,urn:lsid:marinespecies.org:taxname:148989,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_3,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Cylindrotheca closterium,urn:lsid:marinespecies.org:taxname:149004,Species,NA,NA,NA,400,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_4,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Rhizosolenia fragilissima f. fragilissima,urn:lsid:marinespecies.org:taxname:985165,Species,NA,NA,NA,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_5,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Ditylum brightwellii,urn:lsid:marinespecies.org:taxname:149023,Species,NA,NA,NA,80,Present,HumanObservation,Louis Hobson,Morphology
Hakai_phyto_QU39_2020-02-05_5m,Hakai_phyto_QU39_2020-02-05_5m_6,2020-02-05,2020-02-05T18:36:51Z,5,5,50.0307000000001,-125.0992,Grammatophora,urn:lsid:marinespecies.org:taxname:149335,Genus,NA,NA,spp. Indet.,40,Present,HumanObservation,Louis Hobson,Morphology
