occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementMethod,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2016-02-23_0m_1,Hakai_phyto_QU39_2016-02-23_0m_1_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,7000,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_2,Hakai_phyto_QU39_2016-02-23_0m_2_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_3,Hakai_phyto_QU39_2016-02-23_0m_3_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,80,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_4,Hakai_phyto_QU39_2016-02-23_0m_4_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,7000,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_5,Hakai_phyto_QU39_2016-02-23_0m_5_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,1480,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_5,Hakai_phyto_QU39_2016-02-23_0m_5_2,lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,spores,http://vocab.nerc.ac.uk/collection/S11/current/S1135/,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,NA,NA
Hakai_phyto_QU39_2016-02-23_0m_6,Hakai_phyto_QU39_2016-02-23_0m_6_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,80,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_6,Hakai_phyto_QU39_2016-02-23_0m_6_2,lifeStage,http://vocab.nerc.ac.uk/collection/P01/current/LSTAGE01/,resting spores,http://vocab.nerc.ac.uk/collection/S11/current/S1134/,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,NA,NA
Hakai_phyto_QU39_2016-02-23_0m_7,Hakai_phyto_QU39_2016-02-23_0m_7_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-02-23_0m_8,Hakai_phyto_QU39_2016-02-23_0m_8_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,80,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
