scientificName,scientificNameID,match_type.x,id,date,collected,hakai_id,line_out_depth,work_area,site_id,lat,long,volume,lugols,orig_name,counts,group,lifeStage,identificationQualifier,identificationRemark,AphiaID,url,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type.y,modified
Achnanthes,urn:lsid:marinespecies.org:taxname:149191,exact,1,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Achnanthes,40,Bacillariophyta,NA,spp. Indet.,NA,149191,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149191,"Bory, 1822",accepted,NA,180,Genus,149191,Achnanthes,"Bory, 1822",149190,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Achnanthes Bory, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149191 on 2021-04-24",urn:lsid:marinespecies.org:taxname:149191,1,1,1,1,NA,exact,2018-04-11T18:42:17.477Z
Cocconeis,urn:lsid:marinespecies.org:taxname:148989,exact,2,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cocconeis,40,Bacillariophyta,NA,spp. Indet.,NA,148989,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148989,"C.G. Ehrenberg, 1837",accepted,NA,180,Genus,148989,Cocconeis,"C.G. Ehrenberg, 1837",148988,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Cocconeis C.G. Ehrenberg, 1837. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148989 on 2021-04-24",urn:lsid:marinespecies.org:taxname:148989,1,1,1,NA,NA,exact,2017-10-01T05:06:58.397Z
Cylindrotheca closterium,urn:lsid:marinespecies.org:taxname:149004,exact,3,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Cylindrotheca closterium,160,Bacillariophyta,NA,NA,NA,149004,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149004,"(Ehrenberg) Reimann & J.C.Lewin, 1964",accepted,NA,220,Species,149004,Cylindrotheca closterium,"(Ehrenberg) Reimann & J.C.Lewin, 1964",149003,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Cylindrotheca closterium (Ehrenberg) Reimann & J.C.Lewin, 1964. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149004 on 2021-04-24",urn:lsid:marinespecies.org:taxname:149004,1,0,1,0,NA,exact,2008-03-27T13:16:17.603Z
Dactyliosolen phuketensis,urn:lsid:marinespecies.org:taxname:248064,exact,4,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Dactyliosolen phuketensis,40,Bacillariophyta,NA,NA,NA,248064,http://www.marinespecies.org/aphia.php?p=taxdetails&id=248064,"(B.G.Sundström) G.R.Hasle, 1996",alternate representation,NA,220,Species,573582,Rhizosolenia phuketensis,"B.G.Sundström, 1980",149309,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Dactyliosolen phuketensis (B.G.Sundström) G.R.Hasle, 1996. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=248064 on 2021-04-24",urn:lsid:marinespecies.org:taxname:248064,1,NA,NA,0,0,exact,2018-02-01T09:09:54.613Z
Ditylum brightwellii,urn:lsid:marinespecies.org:taxname:149023,exact,5,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Ditylum brightwellii,40,Bacillariophyta,NA,NA,NA,149023,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149023,"(T.West) Grunow, 1885",uncertain,unassessed,220,Species,149023,Ditylum brightwellii,"(T.West) Grunow, 1885",149022,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Ditylum brightwellii (T.West) Grunow, 1885. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149023 on 2021-04-24",urn:lsid:marinespecies.org:taxname:149023,1,NA,NA,0,0,exact,2018-01-31T09:33:29.450Z
Eucampia groenlandica,urn:lsid:marinespecies.org:taxname:157430,exact,6,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Eucampia groenlandica,40,Bacillariophyta,NA,NA,NA,157430,http://www.marinespecies.org/aphia.php?p=taxdetails&id=157430,"Cleve, 1896",uncertain,unassessed,220,Species,157430,Eucampia groenlandica,"Cleve, 1896",149130,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Eucampia groenlandica Cleve, 1896. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=157430 on 2021-04-24",urn:lsid:marinespecies.org:taxname:157430,1,NA,0,0,0,exact,2018-01-31T09:33:29.450Z
Licmophora,urn:lsid:marinespecies.org:taxname:149342,exact,7,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Licmophora,40,Bacillariophyta,NA,spp. Indet.,NA,149342,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149342,"C.A. Agardh, 1827",accepted,NA,180,Genus,149342,Licmophora,"C.A. Agardh, 1827",149341,Chromista,Ochrophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Licmophora C.A. Agardh, 1827. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149342 on 2021-04-24",urn:lsid:marinespecies.org:taxname:149342,1,NA,1,0,0,exact,2017-02-23T10:36:53.780Z
Navicula,urn:lsid:marinespecies.org:taxname:149142,exact,8,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Navicula,40,Bacillariophyta,NA,sp. Indet.,NA,149142,http://www.marinespecies.org/aphia.php?p=taxdetails&id=149142,"J.B.M. Bory de Saint-Vincent, 1822",accepted,NA,180,Genus,149142,Navicula,"J.B.M. Bory de Saint-Vincent, 1822",149031,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Navicula J.B.M. Bory de Saint-Vincent, 1822. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=149142 on 2021-04-24",urn:lsid:marinespecies.org:taxname:149142,1,1,1,1,0,exact,2018-03-22T00:26:10.497Z
Pseudo-nitzschia multiseries,urn:lsid:marinespecies.org:taxname:175738,exact,9,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Pseudo-nitzschia multiseries,120,Bacillariophyta,NA,NA,NA,175738,http://www.marinespecies.org/aphia.php?p=taxdetails&id=175738,"(Hasle) Hasle, 1995",accepted,NA,220,Species,175738,Pseudo-nitzschia multiseries,"(Hasle) Hasle, 1995",149151,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Pseudo-nitzschia multiseries (Hasle) Hasle, 1995. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=175738 on 2021-04-24",urn:lsid:marinespecies.org:taxname:175738,1,NA,NA,0,0,exact,2017-06-12T07:40:43.013Z
Thalassiosira,urn:lsid:marinespecies.org:taxname:148912,exact,10,2020-01-08,2020-01-08T18:44:00Z,QPHY1328,5,QUADRA,QU39,50.0307000000001,-125.0992,250,TRUE,Thalassiosira,40,Bacillariophyta,NA,spp. Indet.,NA,148912,http://www.marinespecies.org/aphia.php?p=taxdetails&id=148912,"P.T. Cleve, 1873 emend. Hasle, 1973",accepted,NA,180,Genus,148912,Thalassiosira,"P.T. Cleve, 1873 emend. Hasle, 1973",148904,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,"Kociolek, J.P.; Blanco, S.; Coste, M.; Ector, L.; Liu, Y.; Karthick, B.; Kulikovskiy, M.; Lundholm, N.; Ludwig, T.; Potapova, M.; Rimet, F.; Sabbe, K.; Sala, S.; Sar, E.; Taylor, J.; Van de Vijver, B.; Wetzel, C.E.; Williams, D.M.; Witkowski, A.; Witkowski, J. (2021). DiatomBase. Thalassiosira P.T. Cleve, 1873 emend. Hasle, 1973. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=148912 on 2021-04-24",urn:lsid:marinespecies.org:taxname:148912,1,1,1,0,0,exact,2018-01-02T17:46:52.927Z
