species,,,,,QPHY1328,QPHY1329,QPHY1330,QPHY1332,QPHY1331,QPHY1333,QPHY1350,QPHY1351,QPHY1323,QPHY1352,QPHY1353,QPHY1354,QPHY1355,QPHY1444,QPHY1356,QPHY1357,QPHY1358,QPHY1359,QPHY1360,QPHY1361,QPHY1362,QPHY1363,QPHY1364,QPHY1365,QPHY1366,QPHY1367,QPHY1368,QPHY1369
Bacillariophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes spp.,,,,,40,,,,,40,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionellopsis glacialis,,,,,,,,,,,,,,,,,,,,,,444,,6220,,,432,,178,1728,,
Attheya spp.,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,
Ceratulina bicornis,,,,,,,,,,,,,1728,,,,,,,,124,,40,1244,,280,144,,89,144,,
Chaetoceros ceratosporus,,,,,,,,,,,,89,,,,,41,,,,,,,622,,,144,,89,,,
Chaetoceros cinctus,,,,,,,,,,,,267,13104,79328,,,5699,,,,1054,,,232656,,,51600,13098,14952,46028,,2112
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros concavicornis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros convolutus,,,,,,,,,,80,120,,,,80,,,,,,,,,2177,280,200,576,267,445,360,,
Chaetoceros danicus,,,,,,,,,,,,,,,80,,,,,,,,,,,,,704,445,144,,
Chetoceros debilis,,,,,,,,,,40,,1246,,13200,,,,,,,248,5920,,17105,,,4896,267,4183,21200,,
Chaetocers debilis resting stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,,,80,,890,,,,,615,,,,,,,,,,,,1780,864,,
Chaetoceros diadema,,,,,,,,,,,,,,,,,,,,,,,,11196,,120,1152,,1246,576,,
Chaetoceros diadema resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,
Chaetoceros didymus,,,,,,,40,,,,,,,2200,,,,,,,,,,,,,,,,1152,,
Chaetoceros laciniosus,,,,,,,,,,,,,,7200,,,,,,,496,,,13062,,,2016,1056,4005,5472,,
Chaetoceros lacinosus resting stage,,,,,,,,,,,,,,,,,,,,,,,,1244,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros radicans,,,,,,,,,,,,,,,,,,,,,,,,36387,,,,,1424,7632,,
Chaetoceros seiracanthus,,,,,,,,,,,,,1440,1200,,,,,,,,,,66896,,,10080,977,2759,19728,,96
Chaetoceros seiracanthus resting stage,,,,,,,,,,,,,,,,,,,,,,,,,,,432,,,720,,
Chaetoceros similis,,,,,,,,,,,,534,288,3000,120,,,,,,,,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros socialis,,,,,,,,,,,,1246,182336,358000,,,,,,,558,,,190000,,,11376,888,8010,8640,,
Chaetoceros spp.,,,,,,,,,,80,,178,1008,6800,,,,,,,,296,,13684,,200,1584,2398,3382,2016,40,48
Chaetoeros spp. very small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,,,120,,,267,,,120,,,,,,,,,,,,,,,,,
Chaetoceros tenuissimus (large),,,,,,,,,,,,,,,40,,,,,,,,,,,,,,178,288,,
Chaetoceros tenuissimus (small),,,,,3500,4375,1750,,,3889,,3500,,4375,5833,,5833,,,6562,,,,,,5833,,7778,,10500,,
Cocconeis spp.,,,,,40,,40,,,160,,,,,40,,,,,,,,,,,,,,,,,
Corethron criophillum,,,,,,,,,40,,40,,144,,40,,82,80,,,,,,622,,1080,576,355,178,,,
Coscinodiscus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,
Cylindrotheca closterium,,,,,160,360,400,,40,,40,,720,1800,760,760,1148,120,,62,62,74,40,4354,,440,1008,534,1424,1152,,96
Dactyliosolen fragilissimus,,,,,,120,80,,,,,,6192,200,40,,,,,,,,,,,,288,356,89,144,,
